"Name","Tags","Sweep","dim1","dropout_p","early_topo","fold","num_coord_funs","num_filtrations","residual_and_bn","share_filtration_parameters","training_seed","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","val_acc","val_acc_epoch","val_acc_step","val_loss","val_loss_epoch","val_loss_step","validation_loss"
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","true","13505250","0.942200005054474","0.19374793767929077","0.9921875","0.9921875","0.029180899262428284","0.029180899262428284","0.9490000009536744","","","0.20981571078300476","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","r50v1sms","true","0","true","","5","8","true","true","56750292","0.9470000267028807","0.18014748394489288","0.9765625","0.9765625","0.10033684968948364","0.10033684968948364","0.9488000273704528","","","0.17362533509731293","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","r50v1sms","true","0","true","","5","8","true","true","13505250","0.9459999799728394","0.17386093735694885","0.96875","0.96875","0.12443752586841585","0.12443752586841585","0.9485999941825868","","","0.18990613520145416","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","8dnm3k1v","true","0","true","","5","1","true","true","56750292","0.9373000264167786","0.21174471080303192","0.9609375","0.9609375","0.08993767946958542","0.08993767946958542","0.9472000002861024","","","0.17967583239078522","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","8","false","false","18741105","","","0.9855222702026368","0.9921875","0.045691292732954025","0.0745023712515831","0.9462000131607056","","","0.2339252531528473","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","8","true","true","10527233","","","0.9743407368659972","0.9921875","0.07951199263334274","0.04477117210626602","0.9441999793052672","","","0.21052639186382296","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","true","18741105","0.9444000124931335","0.19898375868797305","1","1","0.017161887139081955","0.017161887139081955","0.9437999725341796","","","0.2274075746536255","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","18mcs9mb","true","0","false","","5","1","false","false","18741105","0.942300021648407","0.19263680279254913","0.9921875","0.9921875","0.020621538162231445","0.020621538162231445","0.9430000185966492","","","0.23614448308944705","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","8dnm3k1v","true","0","true","","5","8","true","false","18741105","","","0.9552738666534424","0.9609375","0.13845935463905334","0.1335429549217224","0.9426000118255616","","","0.18928737938404083","","",""
"LargerTopoGNN_MNIST","LargerTopoGNN, MNIST","8dnm3k1v","true","0","true","","5","1","true","true","13505250","0.9361000061035156","0.20630456507205963","0.953125","0.953125","0.1277875453233719","0.1277875453233719","0.9412000179290771","","","0.19575414061546328","","",""
